"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Oakfield Road Convenience Center","CCC570000442","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","Oakfield Road","-","Madison","MAR-04-1999","327","CCC570000442","35.708179","-88.790592","-","-","-","51594"
"Powell Crossroads Convenience Center","CCC580000072","CONVENIENCE","Active","MARION COUNTY","East Of Intersection Of Hwy 27 & Hwy 28","Whitwell","Marion","MAR-18-1994","328","CCC580000072","35.182652","-85.524206","37397","-","CONVENIENCE RECYCLING","51595"
"Landfill Convenience Center","CCC580000232","CONVENIENCE","Active","MARION COUNTY","700 Chasey Simpson Road","Jasper","Marion","MAY-08-1995","329","CCC580000232","35.041667","-85.627778","37347","-","CONVENIENCE RECYCLING","7710"
"Monteagle Convenience Center","CCC580000345","CONVENIENCE","Active","MARION COUNTY","Tussell Road","Monteagle","Marion","FEB-16-1996","330","CCC580000345","35.228611","-85.817778","-","-","CONVENIENCE","51596"
"Sequatchie Convenience Center","CCC580000346","CONVENIENCE","Active","MARION COUNTY","Valley View Road","Sequatchie","Marion","FEB-16-1996","331","CCC580000346","35.115556","-85.593333","-","-","CONVENIENCE","51597"
"Kimball Convenience Center","CCC580000362","CONVENIENCE","Active","MARION COUNTY","Rt. 2","Kimball","Marion","MAR-26-1996","332","CCC580000362","35.05494","-85.713817","-","-","CONVENIENCE","51598"
"Suck Creek Mtn Convenience Center","CCC580000401","CONVENIENCE","Active","LLOYD RICHARDS","Hwy 27, Suck Creek Community","-","Marion","JAN-14-1997","333","CCC580000401","35.166944","-85.428889","-","-","CONVENIENCE","51599"
"Whitwell Mtn Convenience Center","CCC580000402","CONVENIENCE","Active","MARION COUNTY","Hwy 108, Griffin Creek Community","-","Marion","FEB-13-1997","334","CCC580000402","35.273333","-85.537222","-","-","CONVENIENCE RECYCLING","51600"
"Jasper Convenience Center","CCC580000457","CONVENIENCE","Active","MARION COUNTY GOV'T.  (HOWELL MOSS, COUNTY EXEC.)","Hwy 41","-","Marion","APR-23-2001","335","CCC580000457","35.041662","-85.581887","-","-","Recycle/Convenience Center","51601"
"Sequatchie Mountain Convenience Center","CCC580000458","CONVENIENCE","Active","MARION CO. GOV'T. (HOWELL MOSS, CO. EXEC.)","Firetown Rd.","Jasper","Marion","APR-23-2001","336","CCC580000458","35.149626","-85.6573","-","-","-","51602"
"South Pittsburg Convenience Center","CCC580000531","CONVENIENCE","Active","MARION COUNTY GOVERNMENT","2Nd St./ Hwy 156","Jasper","Marion","FEB-05-2008","337","CCC580000531","35.075477","-85.623843","-","-","-","51603"
"Chapel Hill Convenience Center","CCC590000385","CONVENIENCE","Active","MARSHALL COUNTY","SR-99","Chapel Hill","Marshall","JUL-17-1996","338","CCC590000385","35.599694","-86.7065","-","-","CONVENIENCE WHITE GOODS YARD WASTE","51604"
"Old Columbia Road Convenience Center","CCC590000386","CONVENIENCE","Active","MARSHALL COUNTY","Old Columbia Road","Lewisburg","Marshall","JUL-17-1996","339","CCC590000386","35.495333","-86.874083","-","-","CONVENIENCE WHITE GOODS YARD WASTE","51605"
"Marshall County Convenience Center  3","CCC590000429","CONVENIENCE","Active","MARSHAL COUNTY","1936 Fayetteville Hwy","Belfast","Marshall","JUL-13-1998","340","CCC590000429","35.430556","-86.723333","-","-","CONVENIENCE","51606"
"Marshall County Convenience Center  4","CCC590000430","CONVENIENCE","Active","MARSHAL COUNTY","4050 Ostella Road","Cornersville","Marshall","JUL-13-1998","341","CCC590000430","35.331944","-86.784444","-","-","CONVENIENCE","51607"
"Neeley Hollow Road Convenience Center","CCC600000198","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","3105 Neeley Hollow Road","Columbia","Maury","DEC-29-1994","342","CCC600000198","35.549556","-87.044278","-","-","CONVENIENCE RECYCLING","51608"
"Fountain Heights Road Convenience Center","CCC600000199","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","1406 Fountain Heights Road","Columbia","Maury","DEC-29-1994","343","CCC600000199","35.541806","-86.984389","-","-","CONVENIENCE RECYCLING","51609"
"Bear Creek Pike Convenience Center","CCC600000200","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","2030 Bear Creek Pike","Columbia","Maury","DEC-29-1994","344","CCC600000200","35.641389","-86.862583","-","-","CONVENIENCE RECYCLING","51610"
"Carters Creek Pike Convenience Center","CCC600000201","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","314 Carters Creek Pike","Columbia","Maury","DEC-29-1994","345","CCC600000201","35.679028","-87.012611","-","-","CONVENIENCE RECYCLING","51611"
"Gravel Hill Road Convenience Center","CCC600000202","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","2100 Gravel Hill Road","Columbia","Maury","DEC-29-1994","346","CCC600000202","35.778306","-87.044389","-","-","CONVENIENCE RECYCLING","51612"
"Fly Road Convenience Center","CCC600000203","CONVENIENCE","Inactive","MAURY COUNTY GOVERNMENT","2752 Fly Road","Santa Fe","Maury","DEC-29-1994","347","CCC600000203","35.738278","-87.128167","-","-","CONVENIENCE RECYCLING","53677"
"Santa Fe Pike Convenience Center","CCC600000204","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","1419 Santa Fe Pike","Columbia","Maury","DEC-29-1994","348","CCC600000204","35.667333","-87.08475","-","-","CONVENIENCE RECYCLING","51613"
"Tindell Lane Convenience Center","CCC600000205","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","2481 Tindell Lane","Columbia","Maury","DEC-29-1994","349","CCC600000205","35.631249","-87.140282","-","-","CONVENIENCE RECYCLING","51614"
"Arrow Mine Road Convenience Center","CCC600000206","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","540 Arrow Mine Road","Mount Pleasant","Maury","DEC-29-1994","350","CCC600000206","35.523889","-87.206417","-","-","CONVENIENCE RECYCLING","51627"
"Fly Hollow Road Convenience Center","CCC600000490","CONVENIENCE","Active","MAURY COUNTY GOVERNMENT","5712 Fly Hollow Road","Santa Fe","Maury","FEB-26-2004","351","CCC600000490","35.789217","-87.164759","-","-","-","51628"
"Highway 30 East Convenience Center","CCC610000130","CONVENIENCE","Inactive","MEIGS COUNTY","Highway 30 East, Left On Legg Road","-","Meigs","JUN-01-1994","352","CCC610000130","35.522","-84.756667","-","-","CONVENIENCE","51629"
"Watts Bar Convenience Center","CCC610000368","CONVENIENCE","Active","MEIGS COUNTY","Honrnby Hollow Road, East Hwy 304","-","Meigs","MAY-01-1996","353","CCC610000368","35.625278","-84.769167","-","-","CONVENIENCE","51630"
"Decatur Convenience Center","CCC610000369","CONVENIENCE","Active","MEIGS COUNTY","Landfill Road","Decatur","Meigs","MAY-01-1996","354","CCC610000369","35.827638","-84.755377","-","-","CONVENIENCE","51632"
"Blythe Ferry Road Convenience Center","CCC610000370","CONVENIENCE","Active","MEIGS COUNTY","Blythe Ferry Road","Birchwood","Meigs","MAY-01-1996","355","CCC610000370","35.40908","-85.01175","37308","-","CONVENIENCE","41583"
"Jackson County Recycling Center","CCC440000285","CONVENIENCE","Active","JACKSON COUNTY GOVERNMENT","Bordon Street","Gainesboro","Jackson","JUN-14-1995","280","CCC440000285","36.36286","-85.65678","-","-","CONVENIENCE RECYCLING BALING PLASTICS","51721"
"Indian Creek Site Convenience Center","CCC450000364","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Indian Creek Road","-","Jefferson","MAR-29-1996","281","CCC450000364","35.961643","-83.370344","-","-","CONVENIENCE RECYCLING","51722"
"Old Landfill Site Convenience Center","CCC450000365","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Old Landfill Road","New Market","Jefferson","MAR-29-1996","282","CCC450000365","36.067826","-83.477344","-","-","CONVENIENCE RECYCLING","51723"
"Jefferson County Straw Plains Convenience Center","CCC450000399","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Old Dandridge Pike, Highway 139","-","Jefferson","JAN-16-1997","283","CCC450000399","36.039114","-83.642505","-","-","CONVENIENCE","51724"
"Deep Springs Road Convenience Center","CCC450000515","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Deep Springs Road","Dandridge","Jefferson","NOV-07-2005","284","CCC450000515","35.996154","-83.524222","-","-","-","51725"
"Leadmine Road Convenience Center","CCC450000516","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Leadmine Road","Dandridge","Jefferson","NOV-07-2005","285","CCC450000516","36.067044","-83.293989","-","-","-","51726"
"Dickey Road Convenience Center","CCC450000517","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Dickey Road","Chestnut Hill","Jefferson","NOV-07-2005","286","CCC450000517","35.922597","-83.372178","-","-","-","51727"
"New Market Convenience Center","CCC450000518","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Quarry Road","New Market","Jefferson","NOV-07-2005","287","CCC450000518","36.082272","-83.546463","-","-","-","51728"
"Rocktown Convenience Center","CCC450000519","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","Rocktown Road","Jefferson City","Jefferson","NOV-07-2005","288","CCC450000519","36.141343","-83.434285","-","-","-","51729"
"Dandridge Road Convenience Center","CCC450000520","CONVENIENCE","Active","JEFFERSON COUNTY GOVERNMENT","J.C. Thompson Road","Dandridge","Jefferson","NOV-07-2005","289","CCC450000520","36.01629","-83.43903","-","-","-","51730"
"Johnson County Industrial Park Convenience Center","CCC460000007","CONVENIENCE","Active","JOHNSON COUNTY GOVERNMENT","398 Industrial Park Drive","Mountain City","Johnson","DEC-13-1993","290","CCC460000007","36.446813","-81.8809","-","-","CONVENIENCE TIRE STORAGE TRANSFER STATION","47680"
"Dutchtown Convenience Center","CCC470000022","CONVENIENCE","Active","KNOX COUNTY","10628 Dutchtown Road","Knoxville","Knox","DEC-13-1993","291","CCC470000022","35.913914","-84.140854","37932","-","CONVENIENCE TIRE STORAGE","51732"
"Karns Convenience Center","CCC470000023","CONVENIENCE","Termination","KNOX COUNTY","6818 Oak Ridge Highway","Knoxville","Knox","DEC-13-1993","292","CCC470000023","35.988254","-84.054826","-","-","CONVENIENCE RECYCLING TIRE STORAGE","51733"
"Powell Convenience Center","CCC470000024","CONVENIENCE","Inactive","KNOX COUNTY","1514 East Emory Road","Knoxville","Knox","DEC-13-1993","293","CCC470000024","36.033333","-84.025556","-","-","CONVENIENCE RECYCLING TIRE STORAGE","51734"
"Halls Convenience Center","CCC470000025","CONVENIENCE","Inactive","KNOX COUNTY GOVERNMENT","6659 Maynardville Highway","Halls","Knox","DEC-13-1993","294","CCC470000025","36.078351","-83.92605","-","-","CONVENIENCE RECYCLING TIRE STORAGE","53678"
"Tazewell Pike Convenience Center","CCC470000026","CONVENIENCE","Inactive","KNOX COUNTY","7165 Tazewell Pike","Knoxville","Knox","DEC-13-1993","295","CCC470000026","36.113088","-83.85389","37721","-","CONVENIENCE RECYCLING TIRE STORAGE","18608"
"Carter Convenience Center","CCC470000027","CONVENIENCE","Active","KNOX COUNTY","8815 Asheville Highway","Knoxville","Knox","DEC-13-1993","296","CCC470000027","36.027248","-83.731071","37924","-","CONVENIENCE RECYCLING TIRE STORAGE","51735"
"John Sevier Convenience Center","CCC470000028","CONVENIENCE","Termination","KNOX COUNTY","1810 John Sevier Highway","Knoxville","Knox","DEC-13-1993","297","CCC470000028","35.892381","-83.89916","37920","-","CONVENIENCE RECYCLING TIRE STORAGE:  This was a duplicate permit number for this site and was discontinued by request of the Knox Co. Mayor Tom Salter March 24, 2010.","51736"
"John Sevier Convenience Center","CCC470000449","CONVENIENCE","Active","KNOX COUNTY","1810 John Sevier Highway","Knoxville","Knox","MAR-14-2000","298","CCC470000449","35.892381","-83.89916","37920","-","RECYCLE","51736"
"Forks Of The River Convenience Center","CCC470000450","CONVENIENCE","Termination","KNOX COUNTY","Water Plant Road","Knoxville","Knox","MAR-04-2000","299","CCC470000450","35.9475","-83.820833","-","-","RECYCLE","47710"
"Knox Co. Convenience Center-Halls","CCC470000483","CONVENIENCE","Active","KNOX COUNTY GOVERNMENT","3608 Neal Drive","Knoxville","Knox","JUL-30-2003","300","CCC470000483","36.070085","-83.935059","-","-","-","51737"
"Tazewell Pike Convenience Center","CCC470000526","CONVENIENCE","Active","KNOX COUNTY SOLID WASTE","7165 Tazewell Pike","Knoxville","Knox","JUN-13-2007","301","CCC470000526","36.113088","-83.85389","37721","-","-","18608"
"Powell Convenience Center","CCC470000532","CONVENIENCE","Active","KNOX COUNTY SOLID WASTE","1514 East Emory Road","Knoxville","Knox","JUN-05-2008","302","CCC470000532","36.033333","-84.025556","-","-","-","51734"
"Upper Wynburg Road Convenience Center","CCC480000216","CONVENIENCE","Active","LAKE COUNTY","Upper Wynburg Road","Tiptonville","Lake","JAN-31-1995","303","CCC480000216","36.339932","-89.503911","-","-","CONVENIENCE RECYCLING TIRE STORAGE INCINERATOR","51738"
"Tiptonville Convenience Center","CCC480000487","CONVENIENCE","Termination","CITY OF TIPTONVILLE","101 Convenience Center Access Road","Tiptonville","Lake","FEB-18-2004","304","CCC480000487","-","-","-","-","-","51739"
"Lauderdale County Convenience Center","CCC490000390","CONVENIENCE","Inactive","LAUDERDALE COUNTY","3231 Curve Nankipoo Road","Ripley","Lauderdale","OCT-28-1996","305","CCC490000390","35.833362","-89.486116","-","-","CONVENIENCE RECYCLING","47914"
"Lauderdale Landfill Convenience Center","CCC490000439","CONVENIENCE","Active","LAUDERDALE CO. GOV'T., ROZELLE CRINER, CO. EXEC.","3231 Curve Nankipoo Road","Ripley","Lauderdale","FEB-11-1999","306","CCC490000439","35.833362","-89.486116","-","-","-","47914"
"Lawrence County Convenience Center","CCC500000371","CONVENIENCE","Active","LAWRENCE COUNTY","2126 Baler Drive","Lawrenceburg","Lawrence","MAY-01-1996","307","CCC500000371","35.274417","-87.327333","38464","-","CONVENIENCE BALING RECYCLING","51323"
"Hohenwald Convenience Center","CCC510000088","CONVENIENCE","Active","LEWIS COUNTY","Hwy 48 South","Hohenwald","Lewis","APR-06-1994","308","CCC510000088","35.529056","-87.562139","-","-","CONVENIENCE TRANSFER","49820"
"Sw Lincoln Co. Solid Waste  Convenience  Center","CCC520000353","CONVENIENCE","Active","LINCOLN COUNTY","17 Henry Thompson Road","Taft","Lincoln","MAR-11-1996","309","CCC520000353","35.024167","-86.714722","-","-","CONVENIENCE","51740"
"Burklin Street Convenience Center","CCC520000388","CONVENIENCE","Active","CITY OF FAYETTEVILLE","37 Burklin Street","Fayetteville","Lincoln","OCT-17-1996","310","CCC520000388","35.15924","-86.55062","37334","-","CONVENIENCE","20081"
"Rock Quarry Road Convenience Center","CCC530000215","CONVENIENCE","Active","LOUDON COUNTY","Rock Quarry Road","-","Loudon","JAN-31-1995","311","CCC530000215","35.7455","-84.32588","-","-","CONVENIENCE RECYCLING","51741"
"Lenoir City Convenience Center","CCC530000363","CONVENIENCE","Active","LOUDON COUNTY","Halls Ferry Road","Lenoir City","Loudon","MAR-29-1996","312","CCC530000363","35.78052","-84.277779","-","-","CONVENIENCE RECYCLING","51742"
"Greenback Convenience And Recycling Center","CCC530000500","CONVENIENCE","Active","LOUDON COUNTY GOVERNMENT","Highway 95","Greenback","Loudon","SEP-19-2005","313","CCC530000500","35.65539","-84.15656","-","-","-","51743"
"Landfill Convenience Center","CCC540000375","CONVENIENCE","Active","MCMINN COUNTY","391 CR-750","Athens","McMinn","MAY-24-1996","314","CCC540000375","35.386389","-84.587778","37303","-","CONVENIENCE RECYCLING","8844"
"Airport Road Landfill Convenience Center","CCC550000303","CONVENIENCE","Active","MCNAIRY COUNTY","770 Airport Road","Selmer","McNairy","SEP-11-1995","315","CCC550000303","35.214444","-88.521667","-","-","CONVENIENCE TIRE STORAGE","47982"
"Macon County Recycling Convenience Center","CCC560000246","CONVENIENCE","Active","MACON COUNTY","1319 Heady Ridge Road","Red Boiling Springs","Macon","APR-26-1995","316","CCC560000246","36.544444","-85.870833","-","-","CONVENIENCE RECYCLING TIRE STORAGE","47922"
"Smith Lane Convenience Center","CCC570000008","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","111 Smith Lane","-","Madison","DEC-13-1993","317","CCC570000008","35.595861","-88.925609","-","-","CONVENIENCE","51744"
"Hawkins County Recycle, Convenience Center And Tire Storage","CCC370000237","CONVENIENCE","Active","HAWKINS COUNTY GOVERNMENT","8590 Highway 11W","Rogersville","Hawkins","MAR-22-1995","250","CCC370000237","36.378333","-83.113056","37857","-","CONVENIENCE TIRE STORAGE BALING RECYCLING","51745"
"Haywood County Landfill Convenience Center","CCC380000389","CONVENIENCE","Active","HAYWOOD COUNTY","608 Landfill Road","Brownsville","Haywood","OCT-17-1996","251","CCC380000389","35.563205","-89.294296","-","-","CONVENIENCE RECYCLING BATTERIES SPECIAL WASTE","47987"
"Henderson County Convenience Center","CCC390000252","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","264 Mig Drive","Lexington","Henderson","MAY-12-1995","252","CCC390000252","35.629307","-88.41574","-","-","CONVENIENCE RECYCLING","51746"
"East Henderson County Convenience Center","CCC390000416","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","22385  US-412 East","Lexington","Henderson","JUL-25-1997","253","CCC390000416","35.641153","-88.232624","-","-","CONVENIENCE","51747"
"West Henderson County Convenience Center","CCC390000417","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","Blue Goose Road","-","Henderson","AUG-25-1997","254","CCC390000417","35.69524","-88.576665","-","-","CONVENIENCE","51748"
"South Henderson County Convenience Cente","CCC390000427","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","5580 Highway 100","Reagan","Henderson","MAR-13-1998","255","CCC390000427","35.507487","-88.328105","-","-","CONVENIENCE","51749"
"North Henderson County Convenience Center","CCC390000446","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","191 D. L. WEATHERLY ROAD
","Wildersville","Henderson","NOV-23-1999","256","CCC390000446","35.777542","-88.389752","38388 ","-","-","51751"
"Bargerton Convenience Center","CCC390000501","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","8436 Highway 104 North","Lexington","Henderson","JUN-09-2005","257","CCC390000501","35.748522","-88.496496","-","-","-","51777"
"Darden Convenience Center","CCC390000502","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","2269 Ray Carrington Road","Lexington","Henderson","JUN-09-2005","258","CCC390000502","35.711033","-88.217919","-","-","-","51778"
"South Haven Convenience Center","CCC390000503","CONVENIENCE","Active","HENDERSON COUNTY GOVERNMENT","6388 US-22A","Lexington","Henderson","JUN-09-2005","259","CCC390000503","35.587648","-88.447819","-","-","-","51779"
