"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,455535 - WASTE MANAGEMENT OF MI INC,SAGINAW VALLEY LANDFILL,""2145 S MILLER RD, SAGINAW, MI"",MIG000013940,""3965 OKEMOS RD, HERITAGE OFFICE PARK, SUITE B4, OKEMOS, MI"",SAGINAW,(no contact) - (no phone),MR. KENT BAINBRIDGE,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,443003 - WASTE MANAGEMENT OF MI INC,WASTE MANAGEMENT OF MI INC (WEST BRANCH),""2430 W FLOWAGE LAKE RD, WEST BRANCH, MI"",MIG000040779,""685 AULERICH RD, EAST TAWAS, MI"",OGEMAW,Craig Scott - (989) 362-9564,,CRAIG SCOTT - (989) 362-9564,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,418413 - WASTE MANAGEMENT OF MI INC,WASTE MANAGEMENT OF MI INC (EAST TAWAS),""685 AULERICH RD, EAST TAWAS, MI"",MIG000050285,""685 AULERICH RD, EAST TAWAS, MI"",IOSCO,Hallis Romancky - (989) 362-0485,,Hallis Romancky - (989) 362-0485,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470446 - WASTE MANAGEMENT OF MICHIGAN,WASTE MANAGEMENT OF MICHIGAN SOUTHWEST TS,""4547 WAYNE RD, SPRINGFIELD, MI"",MIG000026583,""4547 WAYNE RD, SPRINGFIELD, MI"",CALHOUN,STEVEN FORGACS - (734) 326-8252,WASTE MANAGEMENT OF MICHIGAN SOUTHWEST TS,KELLY DAVIS - (616) 969-7500,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,470446 - WASTE MANAGEMENT OF MICHIGAN,WASTE MANAGEMENT OF MICHIGAN SOUTHWEST TS,""4547 WAYNE RD, SPRINGFIELD, MI"",MIG000026583,""4547 WAYNE RD, SPRINGFIELD, MI"",CALHOUN,STEVEN FORGACS - (734) 326-8252,WASTE MANAGEMENT OF MICHIGAN SOUTHWEST TS,KELLY DAVIS - (616) 969-7500,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,456067 - WASTE MANAGEMENT OF MICHIGAN  INC.,CHEBOYGAN TRANSFER STATION,""1307 HIGGINS DR, CHEBOYGAN, MI"",MIG000012494,""1307 HIGGINS DR, CHEBOYGAN, MI"",CHEBOYGAN,MIKE COUTURE - (800) 968-6966,,MIKE COUTURE - (989) 968-6966,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,409035 - WASTE MANAGEMENT OF MICHIGAN HOLLAND,WASTE MANAGEMENT OF MICHIGAN-HOLLAND,""11558 E LAKEWOOD BLVD, HOLLAND, MI"",MID985665058,""P O BOX 336, HASTINGS, MI"",OTTAWA,STEVE ESSLING - (616) 945-2260,STEVE ESSLING,TIM LUCAS - (616) 392-7935,1),Solid Waste Processing Plant,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,409035 - WASTE MANAGEMENT OF MICHIGAN HOLLAND,WASTE MANAGEMENT OF MICHIGAN-HOLLAND,""11558 E LAKEWOOD BLVD, HOLLAND, MI"",MID985665058,""P O BOX 336, HASTINGS, MI"",OTTAWA,STEVE ESSLING - (616) 945-2260,STEVE ESSLING,TIM LUCAS - (616) 392-7935,2),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,409210 - WASTE MANAGEMENT OF MICHIGAN INC,NORTHERN OAKS RECYCLING AND DISPOSAL FACILITY,""513 North County Farm Road, HARRISON, MI"",MID985666809,""513 North County Farm Road, HARRISON, MI"",CLARE,TERRY NICHOLS - (989) 539-6111,,ROBYN HUBER - (517) 539-6111,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,409032 - WASTE MANAGEMENT OF MICHIGAN INC,AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,""700 56TH AVE, ZEELAND, MI"",MID985665025,""700 56TH AVE, ZEELAND, MI"",OTTAWA,MATT ROSSER - (616) 688-5777,,FRED SAWYERS - (616) 838-8493,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,409032 - WASTE MANAGEMENT OF MICHIGAN INC,AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,""700 56TH AVE, ZEELAND, MI"",MID985665025,""700 56TH AVE, ZEELAND, MI"",OTTAWA,MATT ROSSER - (616) 688-5777,,FRED SAWYERS - (616) 838-8493,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,410377 - WASTE MANAGEMENT OF MICHIGAN INC,MACKINAC TRANSFER STATION,""960 CHEESEMAN RD, SAINT IGNACE, MI"",MIR000011619,""711 W SPRUCE ST, SAULT SAINTE MARIE, MI"",MACKINAC,ROBERT PLISKA - (616) 627-4652,,ROBERT PLISKA - (906) 228-4000,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,410439 - WASTE MANAGEMENT OF MICHIGAN INC,PENINSULA SANITARY TRANSFER STATION (HOUGHTON),""1108 ENTERPRISE DR, HOUGHTON, MI"",MIR000012237,""1108 ENTERPRISE DR, HOUGHTON, MI"",HOUGHTON,DOUGLAS DERNBERGER - (906) 482-7523,,DOUGLAS DERNBERGER - (906) 482-7523,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,412314 - WASTE MANAGEMENT OF MICHIGAN INC,EAGLE VALLEY RECYCLE & DISPOSAL FACILITY,""600 W SILVERBELL RD, LAKE ORION, MI"",MIR000031625,""600 W SILVERBELL RD, LAKE ORION, MI"",OAKLAND,SCOTT ROWE - (248) 388-8193,,CHUCK CASSIE - (248) 391-0990,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,412646 - WASTE MANAGEMENT OF MICHIGAN INC,SAULT ST MARIE TRANSFER STATION,""711 W SPRUCE ST, SAULT SAINTE MARIE, MI"",MIR000034942,""711 W SPRUCE ST, SAULT SAINTE MARIE, MI"",CHIPPEWA,DARYL PROULX - (906) 635-5971,,DARYL PROULX - (906) 635-5971,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,412717 - WASTE MANAGEMENT OF MICHIGAN INC,WOODLAND MEADOWS RDF-VAN BUREN,""5900 HANNAN RD, WAYNE, MI"",MIR000035659,""5900 HANNAN RD, WAYNE, MI"",WAYNE,PAUL MAZANEC - (734) 326-8230,WOODLAND MEADOWS RDF-VAN BUREN,JACK ROWE - (313) 920-1617,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,441714 - WASTE MANAGEMENT OF MICHIGAN INC,CHARLEVOIX TRANSFER,""15890 BELLS BAY RD, CHARLEVOIX, MI"",MIG000043597,""48797 ALPHA DR, STE 100, WIXOM, MI"",CHARLEVOIX,(no contact) - (no phone),,DON PIZZURRO - (231) 237-0536,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,440774 - WASTE MANAGEMENT OF MICHIGAN INC,ECO SYSTEMS TRANSFER STATION,""2076 CLYDE RD, IONIA, MI"",MIG000045233,""1668 PORTER ST SW, GRAND RAPIDS, MI"",IONIA,STEVE ESSLING - (616) 945-2260,,MIKE VANDINTHER - (616) 538-1921,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,417640 - WASTE MANAGEMENT OF MICHIGAN INC,TRI-CITY RECYCLING AND DISPOSAL FACILITY,""426 N RUTH RD, CARSONVILLE, MI"",MIK242919561,""426 N RUTH RD, CARSONVILLE, MI"",SANILAC,MIKE MILLER - (810) 657-9313,,JOHN GALL - (810) 621-9080,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,406807 - WASTE MANAGEMENT OF MICHIGAN INC,WESTSIDE RECYCLING & DISPOSAL FACILITY,""14094 M 60 W, THREE RIVERS, MI"",MID985634583,""PO BOX 392, THREE RIVERS, MI"",ST JOSEPH,FRED SAWYERS - (616) 273-1770,,ERIC SHAFER - (616) 279-5444,1),Type III C&D Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,406807 - WASTE MANAGEMENT OF MICHIGAN INC,WESTSIDE RECYCLING & DISPOSAL FACILITY,""14094 M 60 W, THREE RIVERS, MI"",MID985634583,""PO BOX 392, THREE RIVERS, MI"",ST JOSEPH,FRED SAWYERS - (616) 273-1770,,ERIC SHAFER - (616) 279-5444,2),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,399185 - WASTE MANAGEMENT OF MICHIGAN INC,VENICE PARK RECYCLING & DISPOSAL FACIL,""9536 E LENNON RD, LENNON, MI"",MID980701130,""9536 E LENNON RD, LENNON, MI"",SHIAWASSEE,JOHN GALL - (810) 621-9080,,JOHN GALL - (810) 621-9080,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,399185 - WASTE MANAGEMENT OF MICHIGAN INC,VENICE PARK RECYCLING & DISPOSAL FACIL,""9536 E LENNON RD, LENNON, MI"",MID980701130,""9536 E LENNON RD, LENNON, MI"",SHIAWASSEE,JOHN GALL - (810) 621-9080,,JOHN GALL - (810) 621-9080,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,400662 - WASTE MANAGEMENT OF MICHIGAN INC,MISTER RUBBISH,""11655 VENTURE DR, WHITMORE LAKE, MI"",MID982062499,""11655 VENTURE DR, WHITMORE LAKE, MI"",LIVINGSTON,STEVE FORGACS - (734) 326-8252,,JOE DENCZEK - (734) 449-8887,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,400662 - WASTE MANAGEMENT OF MICHIGAN INC,MISTER RUBBISH,""11655 VENTURE DR, WHITMORE LAKE, MI"",MID982062499,""11655 VENTURE DR, WHITMORE LAKE, MI"",LIVINGSTON,STEVE FORGACS - (734) 326-8252,,JOE DENCZEK - (734) 449-8887,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,401211 - WASTE MANAGEMENT OF MICHIGAN INC,WASTE MANAGEMENT OF MICHIGAN INC (ROMULUS),""5980 INKSTER RD, ROMULUS, MI"",MID982608077,""5980 INKSTER RD, ROMULUS, MI"",WAYNE,MIKE BERRETA - (313) 292-0800,,MIKE BERRETA - (313) 292-0800,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,396238 - WASTE MANAGEMENT OF MICHIGAN INC,""WASTE MANAGEMENT OF MICHIGAN, INC - D/B/A DETROIT TRANSFER STATION"",""1550 HARPER AVE, DETROIT, MI"",MID054683479,""1550 HARPER AVE, DETROIT, MI"",WAYNE,PAUL MAZANEC - (313) 922-6700,,MARVIN HILL - (313) 922-6700,1),Solid Waste Processing Plant,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,396238 - WASTE MANAGEMENT OF MICHIGAN INC,""WASTE MANAGEMENT OF MICHIGAN, INC - D/B/A DETROIT TRANSFER STATION"",""1550 HARPER AVE, DETROIT, MI"",MID054683479,""1550 HARPER AVE, DETROIT, MI"",WAYNE,PAUL MAZANEC - (313) 922-6700,,MARVIN HILL - (313) 922-6700,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,463221 - WASTE MANAGEMENT OF MICHIGAN INC,BAY CITY TRANSFER STATION,""2900 N WATER ST, BAY CITY, MI"",MIG000063360,""1311 North Niagara, Saginaw, MI"",BAY,Joe Weiss - (248) 640-8000,,Barry Bromley - (989) 341-7026,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,451259 - WASTE MANAGEMENT OF MICHIGAN INC,WASTE MANAGEMENT OF MICHIGAN INC-LIVONIA YARD TS,""32000 GLENDALE ST, LIVONIA, MI"",MIG000023820,""19200 W 8 MILE RD, SOUTHFIELD, MI"",WAYNE,GHIA ROSSI - (248) 391-0990,,RALPH GRILLO - (248) 386-4340,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470449 - WASTE MANAGEMENT OF MICHIGAN INC,WESTSIDE RECYCLING & DISPOSAL FACILITY,""14094 M 60, THREE RIVERS, MI"",,""14094 M 60, THREE RIVERS, MI"",ST JOSEPH,ERIC SHAFER - (269) 279-5444,WESTSIDE RDF TYPE II,ERIC SHAFER - (269) 279-5444,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,467321 - WASTE MANAGEMENT OF MICHIGAN INC,ROGERS CITY TRANSFER FACILITY-TYPE A,""503 PARK DR, ROGERS CITY, MI"",MIK262231749,""11375 SHERMAN ROAD, FREDERIC, MI"",PRESQUE ISLE,THERESA HEINZEL - (989) 734-2191,,MICHAEL COUTURE - (800) 968-6966,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470479 - WASTE MANAGEMENT OF MICHIGAN INC,EAST GRAND BOULEVARD TRANSFER AND PROCESSING FACILITY,""2660 E GRAND BLVD, DETROIT, MI"",,""5900 HANNAN ROAD, WAYNE, MI"",WAYNE,JOHN MYERS - (734) 326-8252,""WASTE MANAGEMENT OF MICHIGAN, INC."",JOHN MYERS - (248) 596-3506,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,470479 - WASTE MANAGEMENT OF MICHIGAN INC,EAST GRAND BOULEVARD TRANSFER AND PROCESSING FACILITY,""2660 E GRAND BLVD, DETROIT, MI"",,""5900 HANNAN ROAD, WAYNE, MI"",WAYNE,JOHN MYERS - (734) 326-8252,""WASTE MANAGEMENT OF MICHIGAN, INC."",JOHN MYERS - (248) 596-3506,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,439070 - WASTE MANAGEMENT OF MICHIGAN-MIDWEST,GREENVILLE TRANSFER STATION,""1415 SHEARER RD, GREENVILLE, MI"",MIG000048422,""1668 PORTER ST SW, GRAND RAPIDS, MI"",MONTCALM,RANDY DOZEMAN - (616) 538-1921,,RANDY DOZEMAN - (616) 538-1921,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,390757 - WASTE MANAGMENT OF MICHIGAN,WASTE MANAGEMENT TS(MARQUETTE),""910 W BARAGA AVE, MARQUETTE, MI"",MI0000206078,""910 W BARAGA AVE, MARQUETTE, MI"",MARQUETTE,CINDY DEPETRO - (906) 228-2028,,CINDY DEPETRO - (906) 228-4000,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,402334 - WASTE MGMT OF MI WESTERN,WASTE MGMT OF MI WESTERN,""57710 M 51 S, DOWAGIAC, MI"",MID985574292,""PO BOX 149, DOWAGIAC, MI"",CASS,STEVE FORGACS - (734) 326-8252,,KELLY DAVIS - (616) 969-7500,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,481687 - WASTE REDUCTION SYSTEMS,WASTE REDUCTION SYSTEMS,""5848 N STILES RD, LUDINGTON, MI"",,""5848 N STILES RD, LUDINGTON, MI"",MASON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,429386 - WASTECO DISPOSAL INC,WASTECO DISPOSAL INC,""21042 SCHOENHERR RD, WARREN, MI"",MIG000054738,""21042 SCHOENHERR RD, WARREN, MI"",MACOMB,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,417573 - WASTEMANAGEMENT OF MICHIGAN,WASTEMANAGEMENT OF MICHIGAN,""2261 US HIGHWAY 2, CRYSTAL FALLS, MI"",MIG000063129,""2261 US HIGHWAY 2, CRYSTAL FALLS, MI"",IRON,ROBERT PLISKA - (906) 265-4000,,DOUG DERNBERGER - (906) 875-3432,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,466202 - WATERSMEET TOWNSHIP TRANSFER STATION,WATERSMEET TOWNSHIP TRANSFER STATION,""1 TRANSFER STATION RD, WATERSMEET, MI"",,""PO BOX 306, WATERSMEET, MI"",GOGEBIC,VIRGINIA HOFFMAN - (906) 358-4501,,GEORGE PETERSON - (906) 358-4501,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,488502 - WEBBER TOWNSHIP TRANSFER STATION,WEBBER TOWNSHIP TRANSFER STATION,""DOG TRACK ROAD, BALDWIN, MI"",,""WEBBER TWP SUPERVISOR, P.O. BOX 939, BALDWIN, MI"",LAKE,(no contact) - (no phone),TONY GAGLIARDO,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,474084 - WEST BRANCH TOWNSHIP TRANSFER STATION,WEST BRANCH TOWNSHIP TRANSFER STATION,""SECTION 5, WEST BRANCH TOWNSHIP, OFF OF FAIRVIEW ROAD, WEST BRANCH, MI"",,""1705 S FAIRVIEW ROAD, WEST BRANCH, MI"",OGEMAW,(no contact) - (no phone),WEST BRANCH TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,474845 - WESTSHORE RECYCLING AND TRANSFER STATION,WESTSHORE RECYCLING AND TRANSFER STATION,""A-4376 60TH ST, HOLLAND, MI"",,""A-4376 60TH ST, HOLLAND, MI"",ALLEGAN,SEAN STEELE - (616) 494-0561,,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,474845 - WESTSHORE RECYCLING AND TRANSFER STATION,WESTSHORE RECYCLING AND TRANSFER STATION,""A-4376 60TH ST, HOLLAND, MI"",,""A-4376 60TH ST, HOLLAND, MI"",ALLEGAN,SEAN STEELE - (616) 494-0561,,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,""470336 - WEXFORD COUNTY LANDFILL, LLC"",""WEXFORD COUNTY LANDFILL, LLC"",""990 N US HIGHWAY 131, MANTON, MI"",MIK363495375,""3947 N. US 131 P.O. 1030, KALKASKA, MI"",WEXFORD,MICHAEL ASCIONE - (231) 258-9030,,DON SUCHOCKI - (231) 824-6858,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,466497 - WHITE LAKE AREA SOLID WASTE AUTHORITY,WHITE LAKE AREA SOLID WASTE AUTHORITY,""2000 HOLTON WHITEHALL RD, WHITEHALL, MI"",,""2000 HOLTON WHITEHALL RD, WHITEHALL, MI"",MUSKEGON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470356 - WHITELAKE LANDFILL INC,WHITELAKE LANDFILL INC,""3278 COLBY RD, WHITEHALL, MI"",,""700 56TH AVE, ZEELAND, MI"",MUSKEGON,FRED SAWYERS - (616) 688-5777,""WHITELAKE LANDFILL, INC."",FRED SAWYERS - (616) 688-5777,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,465257 - WILMOT TWP TRANSFER,WILMOT TWP TRANSFER,""NW1/4, SW1/4, SEC 11, T33N, R3, PEET ROAD, WOLVERINE, MI"",,""7234 SILVER LAKE ROAD, WOLVERINE, MI"",CHEBOYGAN,MICHAEL WILCOME - (555) 555-5555,WILMOT TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,465995 - WINTERFIELD TOWNSHIP TRANSFER STATION,WINTERFIELD TOWNSHIP TRANSFER STATION,""HASKELL LAKE ROAD, SECTION 14, WINTERFIELD TWP., MI"",,""6425 HASKELL LAKE RD, MARION, MI"",CLARE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,397348 - WISCONSIN ELECTRIC POWER CO,WE ENERGIES PRESQUE ISLE POWER PLANT,""2701 N LAKESHORE BLVD, MARQUETTE, MI"",MID079972535,""2701 N LAKESHORE BLVD, MARQUETTE, MI"",MARQUETTE,TIM MUEHLFELD - (441) 221-2206,,TIM MUEHLFELD - (414) 221-2206,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,397348 - WISCONSIN ELECTRIC POWER CO,WE ENERGIES PRESQUE ISLE POWER PLANT,""2701 N LAKESHORE BLVD, MARQUETTE, MI"",MID079972535,""2701 N LAKESHORE BLVD, MARQUETTE, MI"",MARQUETTE,TIM MUEHLFELD - (441) 221-2206,,TIM MUEHLFELD - (414) 221-2206,2),Type III Low Hazardous Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,478628 - WISCONSIN PUBLIC SERVICE CORPORATION,JOHN WARDEN ASH LANDFILL,""1 LAMBERT RD, LANSE, MI"",,""700 NORTH ADAMS ST, PO BOX 19001, GREEN BAY, WI"",BARAGA,BRIAN BARTOSZAK - (920) 433-2643,WISCONSIN PUBLIC SERVICE CORPERATION,BRIAN BARTOSZAK - (920) 433-2643,1),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,444301 - WOOD ISLAND WASTE MANAGEMENT INC,WOOD ISLAND WASTE MANAGEMENT INC,""E10081 M-28 East, Munising, MI"",MIG000037882,""PO  BOX 2002, KINGSFORD, MI"",ALGER,TERRANCE BARNES - (906) 774-9006,,TERRANCE BARNES - (906) 774-9006,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,466635 - WOODLAND MEADOWS RECYCLING & DISPOSAL FACILITY,WOODLAND MEADOWS LDF SOUTH,""39900 VAN BORN RD, CANTON, MI"",MID980588305,""5900 HANNAN RD, WAYNE, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Active - Closing"
